\\Stockage.univ-pau.fr\aqturin\jhab32-30-min-5%-02.06.2015.dset.vms
C 1s-1/24
	Characteristic Energy eV	1486.69	Acquisition Time s	3.6
KE_C 1s-1/24	BE_C 1s-1/24	CPS_C 1s-1/24	C 1s_1_C 1s-1/24	C 1s_2_C 1s-1/24	C 1s_3_C 1s-1/24	Background_C 1s-1/24	Envelope_C 1s-1/24
1191.87	294.824	165.278	165.278	165.278	165.278	165.278	165.278
1191.97	294.724	167.222	167.222	167.222	167.222	167.222	167.222
1192.07	294.624	161.389	161.389	161.389	161.389	161.389	161.389
1192.17	294.524	171.944	171.944	171.944	171.944	171.944	171.944
1192.27	294.424	162.778	162.778	162.778	162.778	162.778	162.778
1192.37	294.324	167.222	167.222	167.222	167.222	167.222	167.222
1192.47	294.224	171.667	171.667	171.667	171.667	171.667	171.667
1192.57	294.124	175.278	175.278	175.278	175.278	175.278	175.278
1192.67	294.024	171.389	171.389	171.389	171.389	171.389	171.389
1192.77	293.924	173.889	173.889	173.889	173.889	173.889	173.889
1192.87	293.824	171.944	171.944	171.944	171.944	171.944	171.944
1192.97	293.724	170.556	170.556	170.556	170.556	170.556	170.556
1193.07	293.624	162.778	162.778	162.778	162.778	162.778	162.778
1193.17	293.524	162.778	162.778	162.778	162.778	162.778	162.778
1193.27	293.424	168.056	168.056	168.056	168.056	168.056	168.056
1193.37	293.324	171.667	171.667	171.667	171.667	171.667	171.667
1193.47	293.224	165.278	165.278	165.278	165.278	165.278	165.278
1193.57	293.124	164.444	164.444	164.444	164.444	164.444	164.444
1193.67	293.024	168.611	168.611	168.611	168.611	168.611	168.611
1193.77	292.924	156.944	156.944	156.944	156.944	156.944	156.944
1193.87	292.824	160	160	160	160	160	160
1193.97	292.724	163.889	163.889	163.889	163.889	163.889	163.889
1194.07	292.624	175.278	175.278	175.278	175.278	175.278	175.278
1194.17	292.524	167.222	167.222	167.222	167.222	167.222	167.222
1194.27	292.424	170	170	170	170	170	170
1194.37	292.324	170.556	170.556	170.556	170.556	170.556	170.556
1194.47	292.224	161.944	161.944	161.944	161.945	161.944	161.945
1194.57	292.124	170.833	170.833	170.833	170.835	170.833	170.835
1194.67	292.024	163.889	163.889	163.889	163.891	163.889	163.891
1194.77	291.924	160	160	160	160.004	160	160.004
1194.87	291.824	166.111	166.111	166.111	166.118	166.111	166.118
1194.97	291.724	175.556	175.556	175.556	175.568	175.556	175.568
1195.07	291.624	170	170	170	170.022	170	170.022
1195.17	291.524	168.333	168.333	168.333	168.371	168.333	168.371
1195.27	291.424	174.722	174.722	174.722	174.785	174.722	174.785
1195.37	291.324	163.611	163.611	163.611	163.713	163.611	163.714
1195.47	291.224	167.778	167.778	167.778	167.943	167.778	167.943
1195.57	291.124	161.944	161.944	161.945	162.206	161.944	162.206
1195.67	291.024	166.944	166.944	166.945	167.353	166.944	167.354
1195.77	290.924	167.778	167.778	167.778	168.406	167.778	168.406
1195.87	290.824	174.444	174.444	174.445	175.391	174.444	175.392
1195.97	290.724	165.833	165.833	165.834	167.243	165.833	167.243
1196.07	290.624	170.556	171.574	171.575	173.635	171.574	173.635
1196.17	290.524	178.333	171.572	171.573	174.53	171.572	174.532
1196.27	290.424	176.667	171.57	171.572	175.75	171.57	175.753
1196.37	290.324	169.444	171.569	171.573	177.378	171.569	177.382
1196.47	290.224	186.389	171.564	171.571	179.488	171.564	179.494
1196.57	290.124	183.611	171.56	171.57	182.171	171.56	182.181
1196.67	290.024	176.944	171.559	171.574	185.526	171.559	185.541
1196.77	289.924	184.722	171.554	171.579	189.577	171.554	189.601
1196.87	289.824	200	171.545	171.583	194.334	171.545	194.371
1196.97	289.724	200.278	171.536	171.593	199.774	171.536	199.831
1197.07	289.624	207.222	171.524	171.611	205.755	171.524	205.842
1197.17	289.524	211.944	171.511	171.641	212.063	171.511	212.192
1197.27	289.424	218.333	171.496	171.689	218.399	171.496	218.591
1197.37	289.324	233.889	171.476	171.759	224.365	171.476	224.649
1197.47	289.224	225.556	171.458	171.872	229.555	171.458	229.969
1197.57	289.124	221.667	171.442	172.039	233.561	171.442	234.159
1197.67	289.024	247.222	171.417	172.271	235.953	171.417	236.807
1197.77	288.924	231.944	171.397	172.605	236.577	171.397	237.785
1197.87	288.824	245.556	171.373	173.063	235.366	171.373	237.056
1197.97	288.724	235.278	171.353	173.694	232.396	171.353	234.737
1198.07	288.624	224.722	171.335	174.546	227.964	171.335	231.175
1198.17	288.524	230.278	171.316	175.675	222.46	171.316	226.819
1198.27	288.424	220	171.3	177.163	216.301	171.3	222.165
1198.37	288.324	216.944	171.285	179.096	209.907	171.285	217.718
1198.47	288.224	210.833	171.273	181.568	203.645	171.273	213.94
1198.57	288.124	205.278	171.262	184.688	197.783	171.261	211.209
1198.67	288.024	216.667	171.247	188.57	192.523	171.247	209.847
1198.77	287.924	212.778	171.235	193.343	187.954	171.233	210.066
1198.87	287.824	216.667	171.221	199.13	184.096	171.218	212.01
1198.97	287.724	218.333	171.21	206.047	180.937	171.203	215.787
1199.07	287.624	218.611	171.202	214.192	178.416	171.188	221.435
1199.17	287.524	242.222	171.194	223.637	176.433	171.165	228.935
1199.27	287.424	234.444	171.204	234.419	174.914	171.144	238.248
1199.37	287.324	234.722	171.243	246.468	173.781	171.123	249.245
1199.47	287.224	254.444	171.329	259.654	172.937	171.096	261.726
1199.57	287.124	266.944	171.506	273.762	172.316	171.065	275.454
1199.67	287.024	299.444	171.839	288.468	171.862	171.023	290.122
1199.77	286.924	313.056	172.457	303.36	171.53	170.977	305.393
1199.87	286.824	323.889	173.547	317.93	171.285	170.928	320.907
1199.97	286.724	340.556	175.39	331.597	171.1	170.872	336.342
1200.07	286.624	349.722	178.417	343.738	170.957	170.814	351.485
1200.17	286.524	369.444	183.289	353.704	170.838	170.75	366.332
1200.27	286.424	375.556	190.837	360.998	170.737	170.683	381.205
1200.37	286.324	409.722	202.181	365.201	170.638	170.606	396.808
1200.47	286.224	405.833	218.814	366.079	170.548	170.529	414.383
1200.57	286.124	421.111	242.562	363.57	170.458	170.448	435.695
1200.67	286.024	449.722	275.231	357.813	170.363	170.357	462.693
1200.77	285.924	502.5	318.71	349.122	170.252	170.249	497.587
1200.87	285.824	569.167	374.752	337.962	170.121	170.119	542.596
1200.97	285.724	592.222	444.159	324.914	169.983	169.982	599.092
1201.07	285.624	654.444	526.181	310.562	169.825	169.825	666.919
1201.17	285.524	758.611	618.316	295.54	169.634	169.633	744.223
1201.27	285.424	827.5	715.756	280.411	169.42	169.419	826.747
1201.37	285.324	912.222	811.018	265.641	169.178	169.178	907.481
1201.47	285.224	970.833	895.111	251.614	168.917	168.917	977.807
1201.57	285.124	1033.33	958.654	238.6	168.637	168.637	1028.62
1201.67	285.024	1051.39	992.834	226.788	168.35	168.35	1051.27
1201.77	284.924	1026.39	993.61	216.28	168.071	168.071	1041.82
1201.87	284.824	988.889	960.875	207.098	167.804	167.804	1000.17
1201.97	284.724	932.5	898.865	199.232	167.555	167.555	930.542
1202.07	284.624	856.667	815.25	192.585	167.331	167.331	840.504
1202.17	284.524	741.389	719.982	187.056	167.145	167.145	739.893
1202.27	284.424	633.611	622.085	182.522	166.993	166.993	637.614
1202.37	284.324	565.278	529.027	178.846	166.864	166.864	541.009
1202.47	284.224	463.056	446.025	175.915	166.768	166.768	455.173
1202.57	284.124	378.056	375.602	173.609	166.699	166.699	382.511
1202.67	284.024	311.389	318.429	171.817	166.652	166.652	323.594
1202.77	283.924	256.389	273.99	170.443	166.623	166.623	277.81
1202.87	283.824	243.611	240.596	169.398	166.598	166.598	243.396
1202.97	283.724	210	216.254	168.617	166.584	166.584	218.288
1203.07	283.624	188.333	199.053	168.038	166.576	166.576	200.514
1203.17	283.524	169.444	187.343	167.615	166.576	166.576	188.383
1203.27	283.424	171.111	179.53	167.306	166.574	166.574	180.262
1203.37	283.324	159.167	167.046	159.677	159.167	159.167	167.556
1203.47	283.224	160.833	165.505	161.186	160.833	160.833	165.857
1203.57	283.124	158.889	161.605	159.129	158.889	158.889	161.845
1203.67	283.024	158.333	159.873	158.496	158.333	158.333	160.035
1203.77	282.924	158.056	158.906	158.164	158.056	158.056	159.014
1203.87	282.824	165	165.458	165.072	165	165	165.531
1203.97	282.724	156.667	156.909	156.714	156.667	156.667	156.957
1204.07	282.624	156.667	156.791	156.698	156.667	156.667	156.822
1204.17	282.524	154.167	154.229	154.187	154.167	154.167	154.249
1204.27	282.424	151.389	151.42	151.402	151.389	151.389	151.432
1204.37	282.324	153.611	153.626	153.619	153.611	153.611	153.634
1204.47	282.224	151.667	151.674	151.672	151.667	151.667	151.679
1204.57	282.124	153.611	153.614	153.614	153.611	153.611	153.617
1204.67	282.024	151.111	151.113	151.113	151.111	151.111	151.114
1204.77	281.924	154.167	154.167	154.168	154.167	154.167	154.168
1204.87	281.824	163.333	163.334	163.334	163.333	163.333	163.334
1204.97	281.724	156.389	156.389	156.389	156.389	156.389	156.389
1205.07	281.624	157.222	157.222	157.222	157.222	157.222	157.223
