ccodgeo;reg;dep;arr;cv;ze2010;id_modif_geo;libgeo;p11_pop;p99_pop;d90_pop;d82_pop;d75_pop;d68_pop;superf;nais9910;nais9099;nais8290;nais7582;nais6875;dece9910;dece9099;dece8290;dece7582;dece6875;nais11;nais10;nais09;nais08;nais07;nais06;nais05;nais04;nais03;nais02;nais01;nais00;nais99;dece11;dece10;dece09;dece08;dece07;dece06;dece05;dece04;dece03;dece02;dece01;dece00;dece99;p10_pop0014;p10_pop1529;p10_pop3044;p10_pop4559;p10_pop6074;p10_pop75p;p99_pop0014;p99_pop1529;p99_pop3044;p99_pop4559;p99_pop6074;p99_pop75p;p10_poph;p10_h0014;p10_h1529;p10_h3044;p10_h4559;p10_h6074;p10_h7589;p10_h90p;p10_h0019;p10_h2064;p10_h65p;p10_popf;p10_f0014;p10_f1529;p10_f3044;p10_f4559;p10_f6074;p10_f7589;p10_f90p;p10_f0019;p10_f2064;p10_f65p;c10_pop15p;c10_pop15p_cs1;c10_pop15p_cs2;c10_pop15p_cs3;c10_pop15p_cs4;c10_pop15p_cs5;c10_pop15p_cs6;c10_pop15p_cs7;c10_pop15p_cs8;c99_pop15p;c99_pop15p_cs1;c99_pop15p_cs2;c99_pop15p_cs3;c99_pop15p_cs4;c99_pop15p_cs5;c99_pop15p_cs6;c99_pop15p_cs7;c99_pop15p_cs8;c10_h15p;c10_h15p_cs1;c10_h15p_cs2;c10_h15p_cs3;c10_h15p_cs4;c10_h15p_cs5;c10_h15p_cs6;c10_h15p_cs7;c10_h15p_cs8;c10_f15p;c10_f15p_cs1;c10_f15p_cs2;c10_f15p_cs3;c10_f15p_cs4;c10_f15p_cs5;c10_f15p_cs6;c10_f15p_cs7;c10_f15p_cs8;c10_pop1524;c10_pop1524_cs1;c10_pop1524_cs2;c10_pop1524_cs3;c10_pop1524_cs4;c10_pop1524_cs5;c10_pop1524_cs6;c10_pop1524_cs7;c10_pop1524_cs8;c10_pop2554;c10_pop2554_cs1;c10_pop2554_cs2;c10_pop2554_cs3;c10_pop2554_cs4;c10_pop2554_cs5;c10_pop2554_cs6;c10_pop2554_cs7;c10_pop2554_cs8;c10_pop55p;c10_pop55p_cs1;c10_pop55p_cs2;c10_pop55p_cs3;c10_pop55p_cs4;c10_pop55p_cs5;c10_pop55p_cs6;c10_pop55p_cs7;c10_pop55p_cs8;evol99_11
64059;72;64;643;6431;7214;ZZZZZZ;ARTIGUELOUTAN;944;722;669;534;459;435;8;81;52;59;23;36;44;33;40;38;38;21;9;8;8;2;8;10;6;11;7;10;6;5;7;9;11;5;3;3;4;3;2;2;6;1;4;198;113;190;230;118;65;135;123;188;160;84;32;479;104;64;100;117;61;32;1;138;276;65;435;94;49;90;113;57;31;1;111;266;58;724;24;20;40;164;140;72;184;80;620;24;32;40;116;88;64;100;156;400;20;12;16;80;44;64;108;56;324;4;8;24;84;96;8;76;24;84;4;4;0;12;4;4;0;56;384;12;12;32;140;120;56;4;8;256;8;4;8;12;16;12;180;16;30.7479224376731302
64129;72;64;643;6451;7214;ZZZZZZ;BILLERE;13343;13390;12570;13138;14657;13382;5;2150;1890;1651;1544;1873;1461;1006;854;719;708;192;187;221;194;169;206;184;183;193;205;177;210;208;131;140;138;127;154;126;136;133;138;132;133;114;130;2051;2672;2636;2356;1783;1643;2212;2945;3032;2074;1894;1233;6100;1073;1302;1357;1026;762;523;58;1388;3706;1006;7042;978;1370;1279;1330;1022;907;156;1294;4090;1658;11086;18;245;908;1790;2270;1352;3178;1325;11103;5;301;746;1524;2359;1388;2621;2159;5020;0;172;540;874;563;1128;1290;454;6066;18;73;368;916;1707;224;1888;871;1483;0;10;29;201;295;220;0;729;5357;9;188;691;1405;1686;1031;28;321;4245;9;47;188;185;289;101;3150;276;-0.35100821508588498880
64132;72;64;643;6447;7214;ZZZZZZ;BIZANOS;4773;4674;4298;4134;4249;4039;4;460;437;341;281;399;458;361;340;285;289;37;38;34;42;42;45;46;35;41;31;42;50;52;42;49;40;35;41;43;30;50;41;45;39;47;47;725;750;821;1034;826;623;841;713;959;923;837;401;2215;358;356;396;475;384;230;15;498;1242;475;2564;367;393;425;559;442;340;38;500;1395;669;4051;0;132;446;534;622;401;1337;578;3804;0;140;340;508;628;360;1132;696;1839;0;96;289;253;128;305;566;201;2212;0;36;157;281;494;96;771;377;526;0;4;4;32;96;60;0;329;1770;0;88;317;422;474;297;0;173;1754;0;40;124;80;52;44;1337;76;2.1181001283697047
64230;72;64;643;6446;7214;ZZZZZZ;GAN;5481;4961;4724;4047;3543;3125;40;593;450;352;296;303;671;556;378;282;232;52;78;55;56;60;60;44;55;56;61;45;56;45;64;64;59;64;67;53;47;66;66;66;56;71;56;1031;717;1080;1159;849;610;877;813;1064;1006;783;418;2684;548;386;511;576;419;224;20;717;1485;482;2762;483;331;569;583;430;310;57;618;1526;619;4344;36;209;393;778;658;406;1415;450;4052;84;160;272;524;676;496;1084;756;2091;24;130;243;395;107;353;667;173;2253;12;79;150;383;551;53;748;277;379;0;4;0;51;47;47;0;229;2075;24;150;298;624;541;319;4;115;1890;12;55;95;103;69;40;1411;106;10.4817577101390849
64237;72;64;643;6448;7214;ZZZZZZ;GELOS;3620;3665;3529;3148;3161;3367;11;386;340;282;198;346;444;310;268;215;231;35;26;28;33;36;32;22;45;41;35;41;40;33;27;36;40;29;46;40;45;35;39;51;40;36;43;604;569;694;800;613;376;654;687;765;714;527;318;1778;322;322;342;387;269;129;8;460;1031;287;1878;282;248;352;413;344;201;37;390;1057;431;3078;20;127;246;483;498;293;921;491;2977;16;124;168;400;528;332;752;657;1446;12;99;174;245;91;269;391;165;1632;8;28;71;238;406;24;530;326;459;0;0;0;51;55;83;0;269;1357;12;103;210;376;370;165;4;117;1262;8;24;36;56;72;45;917;104;-1.2278308321964529
64269;72;64;643;6431;7214;ZZZZZZ;IDRON;4091;5151;2311;1579;1274;1013;8;358;221;139;99;95;188;136;114;69;73;41;41;30;23;27;29;31;27;34;18;35;53;51;19;20;21;15;18;10;18;16;8;14;18;20;30;791;536;765;1095;628;168;1186;771;1250;1189;580;175;1968;401;287;348;539;322;68;2;555;1162;251;2015;390;249;417;555;306;89;8;530;1208;277;3203;4;159;507;554;436;193;763;587;3925;36;160;500;644;652;304;716;913;1635;0;126;361;281;101;151;415;201;1568;4;34;147;273;336;42;348;386;428;0;13;4;25;13;46;0;327;1631;4;109;403;432;365;134;0;184;1144;0;38;100;96;59;13;763;75;-20.5785284410794021
64284;72;64;643;6446;7214;ZZZZZZ;JURANCON;7037;7381;7538;7345;7867;6864;19;777;749;682;762;923;737;709;642;504;521;57;69;69;61;54;70;82;69;52;73;65;87;95;77;61;56;77;55;73;68;77;73;62;61;66;69;1052;1170;1216;1536;1172;817;1248;1301;1556;1500;1213;563;3359;553;608;599;753;535;296;15;785;1940;635;3604;499;562;617;783;637;467;38;703;2007;893;5914;16;183;428;940;932;755;1761;900;6057;32;240;384;749;1080;772;1500;1300;2768;8;135;257;474;172;588;803;332;3146;8;48;171;466;760;167;958;568;844;0;8;16;60;136;127;0;498;2577;16;131;308;716;672;532;16;186;2494;0;44;104;164;124;96;1744;217;-4.6606150928058529
64329;72;64;643;6431;7214;ZZZZZZ;LEE;1213;779;446;420;282;313;3;113;46;23;22;21;43;29;20;15;16;9;12;11;11;7;13;7;10;11;14;9;12;8;6;0;3;4;2;5;7;3;5;1;5;0;8;273;138;233;291;197;66;182;113;202;172;84;26;610;143;74;111;148;97;36;0;183;332;95;588;130;63;122;142;100;29;1;165;333;91;940;4;43;172;183;98;70;199;172;608;20;12;80;80;116;44;96;160;484;0;39;101;101;16;66;98;62;457;4;4;70;82;82;4;101;109;109;0;0;0;0;4;8;0;98;531;4;39;121;168;86;59;0;55;300;0;4;51;16;8;4;199;20;55.7124518613607189
64335;72;64;643;6419;7214;ZZZZZZ;LESCAR;10030;8191;5793;5186;4164;2953;27;1007;679;429;357;344;562;322;300;205;183;101;80;99;84;87;87;90;103;76;89;91;92;109;55;70;53;57;58;49;49;49;58;46;51;44;48;1894;1699;1976;2418;1344;650;1865;1381;2046;1597;962;340;4899;957;869;959;1193;645;263;11;1354;2894;651;5082;938;830;1017;1224;698;337;38;1328;2966;788;8112;21;310;965;1342;1222;925;1920;1408;6280;21;212;636;882;1144;705;1127;1553;3901;17;223;622;570;279;742;955;492;4211;4;86;343;772;942;183;965;916;1295;0;4;12;127;135;206;0;811;4085;8;252;745;1095;980;633;8;364;2733;12;54;207;120;107;87;1912;233;22.4514711268465389
64348;72;64;643;6419;7214;ZZZZZZ;LONS;12304;11153;9254;6717;3365;2980;12;1251;916;922;483;292;678;402;355;189;189;108;111;112;98;99;118;103;109;114;112;142;120;124;65;74;65;66;72;73;53;63;65;51;52;58;60;2039;2245;2221;2829;1905;908;2368;2153;2611;2338;1221;462;5964;1052;1170;1122;1299;950;364;7;1470;3618;875;6183;987;1075;1099;1529;955;483;54;1369;3750;1064;10107;37;319;992;1646;1866;1028;2615;1604;8616;12;292;692;1304;1648;1056;1508;2104;4905;12;203;690;793;499;845;1292;572;5202;25;116;302;853;1368;183;1323;1032;1532;8;5;10;110;243;187;0;970;4879;21;251;799;1365;1375;696;12;361;3696;9;62;183;171;249;146;2603;273;10.3200932484533309
