V,[Fe3+]o,[SCN-]o,C_cplx,Abs,[Fe3+]eq,[SCN-]eq,K,x,y,Eps*l*K,reste,b
1,0.0009900990099009901,0.00019801980198019803,0.00017634869567284027,17.634869567284028,0.0008137503142281498,2.1671106307357763e-05,10000.000000000005,106867.3095777412,89946652.22793217,1000000000.0000006,15861974800534.412,15862974800534.412
2,0.00196078431372549,0.000196078431372549,0.00018562182123037178,18.56218212303718,0.0017751624924951183,1.045661014217723e-05,10000.000000000062,104133.84171023857,48280235.70201971,1000000000.0000062,8961865280440.514,8962865280440.514
3,0.0029126213592233015,0.0001941747572815534,0.00018730209126170046,18.730209126170045,0.002725319267961601,6.8726660198529545e-06,9999.999999999904,102891.28213309412,33118131.436589662,999999999.9999903,6203095276753.107,6204095276753.107
4,0.0038461538461538464,0.0001923076923076923,0.0001871917138663065,18.71917138663065,0.00365896213228754,5.115978441385809e-06,10000.000000000293,102206.67577100334,25308319.714724638,1000000000.0000293,4737507742475.738,4738507742475.738
5,0.004761904761904762,0.00019047619047619048,0.00018640227134427364,18.640227134427363,0.0045755024905604885,4.073919131916844e-06,9999.999999999904,101775.6401539734,20550850.415706165,999999999.9999903,3830725195544.0396,3831725195544.0396
6,0.0056603773584905665,0.00018867924528301886,0.00018529491424988862,18.529491424988862,0.005475082444240678,3.3843310331302357e-06,9999.999999999241,101479.84803752233,17349780.470931236,999999999.9999242,3214826084615.595,3215826084615.595
7,0.0065420560747663555,0.00018691588785046728,0.00018402157243943763,18.402157243943762,0.006358034502326918,2.8943154110296543e-06,10000.000000000382,101264.44243381625,15049021.30613658,1000000000.0000381,2769344564429.853,2770344564429.853
8,0.007407407407407408,0.00018518518518518518,0.00018265697365279224,18.265697365279223,0.007224750433754616,2.528211532392934e-06,9999.999999999975,101100.63491682049,13315693.379288554,999999999.9999975,2432204254749.369,2433204254749.369
9,0.008256880733944955,0.0001834862385321101,0.00018124193392154452,18.124193392154453,0.00807563880002341,2.2443046105655726e-06,9999.999999999825,100971.89518695827,11962974.538454836,999999999.9999826,2168192640803.7512,2169192640803.7512
10,0.00909090909090909,0.00018181818181818183,0.00017980047024159304,17.980047024159305,0.008911108620667497,2.0177115765887944e-06,9999.999999999049,100868.06380553369,10877928.449616378,999999999.9999049,1955856650495.428,1956856650495.428
