A title and blank lines


$matrix
10

                0            1            2            3
    0    0.433531     0.201194     0.863920     0.324046
    1    0.406065     0.100309     0.347705     0.264512
    2    0.438027     0.080935     0.617965     0.111811
    3    0.017309     0.332600     0.433416     0.832567
    4    0.912095     0.947453     0.110929     0.520605
    5    0.082792     0.525499     0.733533     0.178779
    6    0.596368     0.992096     0.658306     0.683304
    7    0.190310     0.050514     0.019197     0.673313
    8    0.471311     0.992899     0.615207     0.205628
    9    0.201194     0.919232     0.182360     0.886177
                4            5            6            7
    0    0.082912     0.591670     0.602064     0.127484
    1    0.126905     0.834096     0.183519     0.660699
    2    0.350105     0.181166     0.929067     0.488065
    3    0.023819     0.282027     0.643867     0.961730
    4    0.834114     0.713734     0.727065     0.059785
    5    0.127612     0.697856     0.286039     0.115442
    6    0.539881     0.033716     0.022305     0.986755
    7    0.921519     0.138547     0.041219     0.684289
    8    0.874751     0.025097     0.958758     0.617308
    9    0.235358     0.856740     0.643054     0.986991
                8            9
    0    0.514128     0.910653
    1    0.229864     0.590354
    2    0.533079     0.608870
    3    0.422877     0.719836
    4    0.282808     0.544195
    5    0.217542     0.153133
    6    0.269481     0.112845
    7    0.777455     0.983389
    8    0.050025     0.849264
    9    0.946638     0.207939
